x,y,yerr,note
0.275,-0.00072,0,A
0.26,-0.0006334,0,A
0.25,0.0004248,0,A
0.24,0.004864,0,A
0.23,0.015477,0,A
0.225,0.021859,0,A
0.22,0.025684,0,A
0.215,0.026627,0,A
0.21,0.02623,0,A
0.2,0.02575,0,A
0.19,0.022556,0,A
0.17,0.018012,0,A
0.16,0.016445,0,A
0.13,0.01184,0,A
0.11,0.009229,0,A
0.09,0.007219,0,A
0.07,0.00563,0,A
0.05,0.004027,0,A
0.03,0.002449,0,A
0.01,0.000769,0,A
0.0,0.000264,0,A
0.18,0.017486,0.0,B
0.19,0.021243,0.0,B
0.2,0.025443,0.0,B
0.2,0.022529,0.0,C
0.19,0.019042,0.0,C
0.18,0.016643,0.0,C
0.17,0.016288,0.0,C
0.16,0.016158,0.0,C
0.15,0.014708,0.0,C
0.13,0.011909,0.0,C
0.2,0.022529,0.0,C
0.15,0.0133,0.0,D
0.16,0.013515,0.0,D
0.17,0.014244,0.0,D
0.18,0.015858,0.0,D
0.19,0.0188,0.0,D
0.18,0.015858,0.0,D
0.18,0.017762,0.0,E
0.17,0.015182,0.0,E
0.16,0.013488,0.0,E
0.15,0.013062,0.0,E
0.16,0.014447,0.0,F
0.15,0.013812,0.0,F
0.14,0.013155,0.0,F
0.13,0.012079,0.0,F
0.12,0.010792,0.0,F
0.17,0.015228,0.0,F
0.18,0.016763,0.0,F
0.19,0.019423,0.0,F
0.2,0.023,0.0,F
0.21,0.025257,0.0,F
0.22,0.026057,0.0,F
0.18,0.016763,0.0,F
0.18,0.017449,0.0,G
0.19,0.01952,0.0,G
0.17,0.016929,0.0,G
0.16,0.016526,0.0,G
0.16,0.0146232,0.0,H
0.17,0.015517,0.0,H
0.18,0.016999,0.0,H
0.19,0.019512,0.0,H
0.15,0.013813,0.0,H
0.14,0.013057,0.0,H
0.14,0.01252,0.0,I
0.16,0.014274,0.0,I
0.17,0.015294,0.0,I
0.18,0.016872,0.0,I
0.19,0.01948,0.0,I
0.2,0.023038,0.0,I
0.21,0.025241,0.0,I
0.15,0.013304,0.0,I
0.13,0.011669,0.0,I
0.12,0.010611,0.0,I
0.11,0.009287,0.0,I
0.1,0.008097,0.0,I
0.09,0.007244,0.0,I
0.08,0.006495,0.0,I
0.07,0.005615,0.0,I
0.06,0.004762,0.0,I
0.05,0.00403,0.0,I
0.04,0.003307,0.0,I
0.03,0.002448,0.0,I
0.02,0.001549,0.0,I
0.01,0.000769,0.0,I
0.0,0.000266,0.0,I
