freq_f,brightness_f,yerr
-1500.0,-9.272728,3.82683
-1450.0,-10.909091,3.9875839
-1400.0,-11.545455,4.238743
-1350.0,-6.0,3.4281285
-1300.0,-7.636364,3.4664865
-1250.0,-3.4545455,3.6860244
-1200.0,-9.09091,4.2172413
-1150.0,-6.3636365,4.3217688
-1100.0,-3.0,3.903802
-1050.0,-2.1818182,4.0020657
-1000.0,1.4545455,4.152068
-950.0,2.5454545,4.945989
-900.0,32.454544,7.702098
-850.0,87.81818,9.941149
-800.0,166.0,12.444256
-750.0,362.45456,17.323372
-700.0,724.4546,23.131674
-650.0,1309.8182,29.553427
-600.0,2291.8184,35.722763
-550.0,3102.9092,38.65721
-500.0,4008.5457,40.536892
-450.0,4838.1816,41.207596
-400.0,5495.909,40.987198
-350.0,5862.454,41.431213
-300.0,6940.2725,41.442783
-250.0,7445.909,41.633186
-200.0,7632.0,41.601612
-150.0,7594.818,42.136337
-100.0,7715.1816,41.80118
-50.0,7486.3633,41.654423
0.0,7126.1816,41.628223
50.0,6221.5454,41.380516
100.0,5136.0,41.423832
150.0,3579.9092,40.00372
200.0,1856.3636,33.48146
250.0,972.7273,26.392462
300.0,511.7273,20.039629
