x,y,yerr,note
0.16,0.015307,0,A
0.17,0.016589,0,A
0.18,0.018348,0,A
0.19,0.020081,0,A
0.2,0.022863,0.0,A
0.21,0.024995,0.0,A
0.22,0.027022,0.0,A
0.225,0.024043,0.0,A
0.23,0.017198,0.0,A
0.15,0.013906,0.0,A
0.14,0.012796,0.0,A
0.13,0.011815,0.0,A
0.12,0.01064,0.0,A
0.11,0.00912,0.0,A
0.1,0.007786,0.0,A
0.09,0.006936,0.0,A
0.08,0.006196,0.0,A
0.07,0.005427,0.0,A
0.06,0.004671,0.0,A
0.05,0.004006,0.0,A
0.03,0.002361,0.0,A
0.02,0.001409,0.0,A
0.01,0.000635,0.0,A
0.0,0.000138,0.0,A
0.06,0.00466,0.0,B
0.06,0.004912,0.0,C
0.03,0.002342,0.0,C
0.02,0.00135,0.0,C
0.02,0.001489,0.0,E
0.02,0.001489,0.0,E
0.1,0.008379,0.0,F
0.09,0.007373,0.0,F
0.08,0.006464,0.0,F
0.07,0.005626,0.0,F
0.11,0.009582,0.0,F
0.12,0.010926,0.0,F
0.12,0.009956,0.0,G
0.13,0.011215,0.0,G
0.14,0.012479,0.0,G
0.15,0.013818,0.0,G
0.16,0.015309,0.0,G
0.17,0.016667,0.0,G
0.18,0.018382,0.0,G
0.19,0.020119,0.0,G
0.2,0.022827,0.0,G
0.21,0.025056,0.0,G
0.22,0.027018,0.0,G
0.225,0.023616,0.0,G
0.23,0.01742,0.0,G
0.24,0.005918,0.0,G
0.25,0.0009,0.0,G
0.255,5e-05,0.0,G
0.26,-0.00052,0.0,G
0.27,-0.00086,0.0,G
0.275,-0.0009,0.0,G
0.335,-0.0002,0.0,G
0.11,0.008788,0.0,G
0.1,0.00778,0.0,G
0.09,0.007037,0.0,G
0.08,0.006377,0.0,G
0.07,0.00565,0.0,G
0.06,0.004957,0.0,G
0.05,0.004309,0.0,G
0.04,0.003534,0.0,G
0.03,0.002529,0.0,G
0.02,0.001482,0.0,G
0.01,0.0006414,0.0,G
0.0,0.0001,0.0,G
