% Model,3-zeeman.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 25 2026, 21:28"
% Dimension,1
% Nodes,65
% Expressions,1
% Description,线结果图
% 弧长 (mm),磁通密度，x 分量
0,0.7187469164664513
2.0372029223851698,0.8085943801514937
10,1.3998000704925362
14.561909947186187,2.646125023678896
19.123819894372364,3.7724401257457947
23.685729841558544,4.8987552278126945
28.24763978874473,6.154968020116948
31.810729841558548,7.69249286663953
35.37381989437237,9.10012002292478
38.93690994718617,10.507747179210007
42.5,11.90924321784167
44.375,12.402885074112772
46.25,12.902658048037473
48.125,13.402431021962178
50,14.137496212287704
55,13.731328628720803
60,13.089868828753062
65,12.448409028785324
70,11.675008004626445
75,10.45802706055331
80,9.372987340671315
85,8.287947620789316
90,7.218570115934952
95,6.008808874221094
100,4.783385417479588
105,3.5579619607380835
110,2.2763798307902063
115,0.9863773552967504
120,-0.24746644699034576
125,-1.4813102492774386
130,-2.741815569650946
135,-3.771470175517858
140,-4.774463263298373
145,-5.777456351078888
150,-6.763135368377553
155,-7.862718088393814
160,-8.979614878891912
165,-10.096511669390011
170,-11.013794792664953
175,-12.41437035840476
180,-14.014559591367727
185,-15.61474882433069
190,-17.275559236401634
195.00000000000003,-18.95288408911179
200.00000000000003,-20.569587762713986
205,-22.186291436316175
210,-24.86592201634681
214.99999999999997,-24.299519028886515
219.99999999999997,-22.67018913499779
225.00000000000003,-21.040859241109068
230,-17.755986664802073
235,-12.629162029143995
240,-9.157880075904206
245,-5.686598122664428
250,-2.628977095176151
255.00000000000006,-2.108868464749312
260,-1.175098908570959
265,-0.24132935239260228
270,0.5828939326908128
274.5178055591726,0.4383686549031442
276.41600328613447,0.46969877965954354
276.8812816372563,0.47737828984968
278.1567533975202,0.49843020072531596
279.0356111183452,0.5129359193053514
280,0.5288533464241215
