x,y,yerr,note
0.025,0.001502,0.0,A
0.0,0.000322,0.0,A
0.035,0.002153,0.0,A
0.04,0.00247,0.0,A
0.05,0.003086,0.0,A
0.06,0.003693,0.0,A
0.07,0.004295,0.0,A
0.08,0.004849,0.0,A
0.08,0.004849,0.0,A
0.1,0.006187,0.0,A
0.11,0.007169,0.0,A
0.12,0.008227,0.0,A
0.14,0.010408,0.0,A
0.15,0.01178,0.0,A
0.16,0.013008,0.0,A
0.17,0.01385,0.0,A
0.18,0.014738,0.0,A
0.19,0.015825,0.0,A
0.2,0.017313,0.0,A
0.21,0.018872,0.0,A
0.22,0.018898,0.0,A
0.23,0.01251,0.0,A
0.28,-0.0006227,0.0,A
0.21,0.025735,0.0,B
0.19,0.017342,0.0,B
0.19,0.019274,0.0,C
0.21,0.025938,0.0,C
0.21,0.025938,0.0,C
0.21,0.025938,0.0,C
0.11,0.007169,0.0,C
0.2,0.022341,0.0,D
0.21,0.025,0.0,D
0.19,0.02,0.0,D
0.18,0.017949,0.0,D
0.17,0.014659,0.0,D
0.16,0.012003,0.0,D
0.16,0.014527,0.0,E
0.17,0.01646,0.0,E
0.18,0.018321,0.0,E
0.15,0.01262,0.0,E
0.15,0.01262,0.0,E
0.14,0.009749,0.0,E
0.14,0.012127,0.0,F
0.15,0.013972,0.0,F
0.16,0.015622,0.0,F
0.17,0.016844,0.0,F
0.18,0.018435,0.0,F
0.19,0.019925,0.0,F
0.2,0.022175,0.0,F
0.14,0.012127,0.0,F
0.13,0.00988,0.0,F
0.12,0.007836,0.0,E
0.12,0.007836,0.0,F
0.11,0.006415,0.0,F
0.12,0.009834,0.0,G
0.13,0.011592,0.0,G
0.14,0.012825,0.0,G
0.15,0.014141,0.0,G
0.16,0.145549,0.0,G
0.16,0.015622,0.0,F
0.13,0.009253,0.0,A
0.11,0.007837,0.0,G
0.1,0.005963,0.0,G
0.08,0.004353,0.0,G
0.09,0.00671,0.0,H
0.1,0.007789,0.0,H
0.11,0.009156,0.0,H
0.2,0.017313,0.0,A
0.12,0.010643,0.0,H
0.13,0.011845,0.0,H
0.14,0.012905,0.0,H
0.08,0.005803,0.0,H
0.07,0.004751,0.0,H
0.06,0.003709,0.0,H
0.05,0.002869,0.0,H
0.04,0.002188,0.0,H
0.03,0.0015628,0.0,H
0.02,0.00102,0.0,H
0.06,0.004656,0.0,I
0.07,0.005442,0.0,I
0.08,0.006236,0.0,I
0.09,0.006975,0.0,I
0.1,0.007842,0.0,I
0.11,0.009161,0.0,I
0.12,0.010631,0.0,I
0.05,0.003945,0.0,I
0.04,0.00319,0.0,I
0.03,0.00232,0.0,I
0.02,0.001433,0.0,I
0.01,0.0006973,0.0,I
0.0,0.0002085,0.0,I
-0.01,-6.24e-05,0.0,I
0.14,0.012918,0.0,I
0.13,0.011819,0.0,I
0.15,0.014146,0.0,I
0.16,0.015521,0.0,I
0.17,0.016725,0.0,I
0.18,0.018328,0.0,I
0.19,0.019851,0.0,I
0.2,0.022182,0.0,I
0.21,0.024924,0.0,I
0.215,0.027276,0.0,I
0.22,0.027724,0.0,I
0.225,0.023526,0.0,I
0.23,0.017386,0.0,I
0.25,0.0007955,0.0,I
0.26,-0.000443,0.0,I
0.27,-0.000635,0.0,I
0.28,-0.000587,0.0,I
