% Model,3-zeeman.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 26 2026, 18:48"
% Dimension,1
% Nodes,41
% Expressions,1
% Description,线结果图
% 弧长 (mm),磁通密度，x 分量
0,12.695274936329811
5,12.412605693378072
10,12.129936450426339
15,11.847267207474603
20,11.312834351161237
25,10.12337651636036
30,9.185682294921119
34.99999999999999,8.247988073481867
40,7.324294039697737
45,6.256476343559727
50,5.174658459766615
55.00000000000001,4.0928405759735025
60,2.912773483232167
65,1.7596755613580843
70,0.7048268484322446
75,-0.35002186449360795
80,-1.4278485527362452
84.99999999999999,-2.3463352311982244
90,-3.2418439343434278
95.00000000000001,-4.137352637488625
100,-5.019945252309957
105.00000000000003,-6.168332264310881
110.00000000000001,-7.329635364635694
114.99999999999999,-8.490938464960497
120,-9.644031285933744
125,-11.588329045202883
130,-13.540837083823567
135,-15.493345122444255
140,-17.588157110214915
145.00000000000003,-19.807004967013874
150.00000000000006,-21.883548874662864
155,-23.960092782311847
160,-25.877596027145202
164.99999999999997,-27.609305595501596
169.99999999999997,-29.50005582667362
175.00000000000006,-31.390806057845637
180,-33.88424275640052
185,-38.707255593652874
190,-42.9275819635224
195,-47.147908333391925
200,-51.36823470326145
